Numero,tweetID,tweetText,Candidato,Sentimento,tweetRetweetCt,tweetFavoriteCt,tweetSource,tweetCreated,userID,userScreen,userName,userCreateDt,userDesc,userFollowerCt,userFriendsCt,userLocation,userTimezone
8,997253105459773000,"""Efeito Bolsonaro: Alckmin diz que vai facilitar porte de arma no campo"" https://t.co/k9ome7FAFN #política #feedly",Alckmin,-1,1,0,Twitter for iPhone,5/17/2018 23:10,586115653,LiviaPetralha,Livia Petralha ? ?,5/21/2012 0:38,"Sou feminista, petista e revolucionária. Meus ídolos são: Lula, Dilma, Marx, Lenin, Stalin, Fidel, Che! Odeio: Preconceitos, sionismo e machismo.",4556,1520,Interior de São Paulo,Brasilia
8,997253105459773000,"""Efeito Bolsonaro: Alckmin diz que vai facilitar porte de arma no campo"" https://t.co/k9ome7FAFN #política #feedly",Alckmin,-1,1,0,Twitter for iPhone,5/17/2018 23:10,586115653,LiviaPetralha,Livia Petralha ? ?,5/21/2012 0:38,"Sou feminista, petista e revolucionária. Meus ídolos são: Lula, Dilma, Marx, Lenin, Stalin, Fidel, Che! Odeio: Preconceitos, sionismo e machismo.",4556,1520,Interior de São Paulo,Brasilia
1,997253105459773000,"""Efeito Bolsonaro: Alckmin diz que vai facilitar porte de arma no campo"" https://t.co/k9ome7FAFN #política #feedly",Alckmin,-1,1,0,Twitter for iPhone,5/17/2018 23:10,586115653,LiviaPetralha,Livia Petralha ? ?,5/21/2012 0:38,"Sou feminista, petista e revolucionária. Meus ídolos são: Lula, Dilma, Marx, Lenin, Stalin, Fidel, Che! Odeio: Preconceitos, sionismo e machismo.",4556,1520,Interior de São Paulo,Brasilia
12,995060193267453000,"""O governo de Lula nunca foi de esquerda"", diz presidenciável Aldo Rebelo 
Pelo visto, ele então foi menos ainda...
https://t.co/JDjmcJkN0g",Lula,-1,0,0,Twitter Web Client,5/11/2018 21:56,134558134,henricarneiro,Henrique Carneiro,4/18/2010 19:44,"historiador, pesquisa alimentação, drogas e bebidas.",4808,4747,são paulo,Brasilia
12,995060193267453000,"""O governo de Lula nunca foi de esquerda"", diz presidenciável Aldo Rebelo 
Pelo visto, ele então foi menos ainda...
https://t.co/JDjmcJkN0g",Lula,-1,0,0,Twitter Web Client,5/11/2018 21:56,134558134,henricarneiro,Henrique Carneiro,4/18/2010 19:44,"historiador, pesquisa alimentação, drogas e bebidas.",4808,4747,são paulo,Brasilia
13,997251767242051000,"""Se alguém do PSL quiser apoiar Álvaro Dias, eu o interno num hospício antes de expulsá-lo"", dispara @majorolimpio… https://t.co/2MOVzuRk7Z",Álvaro Dias,-1,0,4,Twitter for Android,5/17/2018 23:05,169938429,raulnascimentoo,Raul Holderf Nascimento,7/23/2010 15:01,"Colunista, redator, servo e amigo de Deus. Editor-chefe do @conexaopolitica e membro do @conexaocristao. Conservador, adventista e nordestino com orgulho.",30910,3584,"Recife, Brasil",Brasilia
13,997251767242051000,"""Se alguém do PSL quiser apoiar Álvaro Dias, eu o interno num hospício antes de expulsá-lo"", dispara @majorolimpio… https://t.co/2MOVzuRk7Z",Álvaro Dias,-1,0,4,Twitter for Android,5/17/2018 23:05,169938429,raulnascimentoo,Raul Holderf Nascimento,7/23/2010 15:01,"Colunista, redator, servo e amigo de Deus. Editor-chefe do @conexaopolitica e membro do @conexaocristao. Conservador, adventista e nordestino com orgulho.",30909,3585,"Recife, Brasil",Brasilia
2,996150078476824000,"#RDRJ RT @bbcbrasil: Militares foram últimos a aderir ao golpe de 1964 e únicos a serem punidos, diz Aldo Rebelo… https://t.co/dfo7Gks1oX",Aldo Rebelo,-1,0,0,Br. Smart Content 2.0,5/14/2018 22:07,557644540,Transito_RJO,Radar Trânsito RJ,4/19/2012 11:40,Pool de notícias oferecendo leitura dinâmica do trânsito e acontecimentos no Rio e Grande Rio. Melhore sua experiência conosco. #RDRJ 24h com você!,19954,2906,Rio de Janeiro,Brasilia
2,996150078476824000,"#RDRJ RT @bbcbrasil: Militares foram últimos a aderir ao golpe de 1964 e únicos a serem punidos, diz Aldo Rebelo… https://t.co/dfo7Gks1oX",Aldo Rebelo,-1,0,0,Br. Smart Content 2.0,5/14/2018 22:07,557644540,Transito_RJO,Radar Trânsito RJ,4/19/2012 11:40,Pool de notícias oferecendo leitura dinâmica do trânsito e acontecimentos no Rio e Grande Rio. Melhore sua experiência conosco. #RDRJ 24h com você!,19954,2906,Rio de Janeiro,Brasilia
7,997253151471222000,"...sem Temer..., melhor ainda. https://t.co/IteXzt7Ft9",Michel Temer,-1,0,0,Twitter Web Client,5/17/2018 23:10,112680037,ebbavi,ebbavi,2/9/2010 10:18,Sei que nada sei.,58,266,"ES, Brazil",Brasilia
0,996151430380773000,"?

Os 'candidatos abutres': Ciro Gomes, Guilherme Boulos e Manuela D'Ávila. 

? https://t.co/Z8h229qE0p",Manuela D'Avila,-1,0,0,Facebook,5/14/2018 22:13,90643122,josemarcus,J. MARCUS C. MATTOS,11/17/2009 14:44,Poeta. Psicanalista.,45,81,"Rio de Janeiro, Brasil",America/Sao_Paulo
0,996151430380773000,"?

Os 'candidatos abutres': Ciro Gomes, Guilherme Boulos e Manuela D'Ávila. 

? https://t.co/Z8h229qE0p",Manuela D'Avila,-1,0,0,Facebook,5/14/2018 22:13,90643122,josemarcus,J. MARCUS C. MATTOS,11/17/2009 14:44,Poeta. Psicanalista.,45,81,"Rio de Janeiro, Brasil",America/Sao_Paulo
1,996151430380773000,"?

Os 'candidatos abutres': Ciro Gomes, Guilherme Boulos e Manuela D'Ávila. 

? https://t.co/Z8h229qE0p",Manuela D'Avila,-1,0,0,Facebook,5/14/2018 22:13,90643122,josemarcus,J. MARCUS C. MATTOS,11/17/2009 14:44,Poeta. Psicanalista.,45,81,"Rio de Janeiro, Brasil",America/Sao_Paulo
4,996151430380773000,"?

Os 'candidatos abutres': Ciro Gomes, Guilherme Boulos e Manuela D'Ávila. 

? https://t.co/Z8h229qE0p",Manuela D'Avila,-1,0,0,Facebook,5/14/2018 22:13,90643122,josemarcus,J. MARCUS C. MATTOS,11/17/2009 14:44,Poeta. Psicanalista.,45,81,"Rio de Janeiro, Brasil",America/Sao_Paulo
12,997223971971043000,"@alesqui Se bem que, pro Aldo Rebelo, como ""tweet"" é o termo em inglês pro som emitido por pássaros pequenos, o cor… https://t.co/PjIW0mxGxk",Aldo Rebelo,-1,0,0,Twitter for Android,5/17/2018 21:14,2973854116,dimiconde,serenity now,1/11/2015 23:16,"Muito fofo, egocêntrico, rabugento e vingativo.",707,835,Brasil,Pacific Time (US & Canada)
12,997223971971043000,"@alesqui Se bem que, pro Aldo Rebelo, como ""tweet"" é o termo em inglês pro som emitido por pássaros pequenos, o cor… https://t.co/PjIW0mxGxk",Aldo Rebelo,-1,0,0,Twitter for Android,5/17/2018 21:14,2973854116,dimiconde,serenity now,1/11/2015 23:16,"Muito fofo, egocêntrico, rabugento e vingativo.",707,835,Brasil,Pacific Time (US & Canada)
9,995095486179741000,@alvarodias_ O senhor precisa visitar mais os estados do norte e nordeste. Sai um pouco da região Sul. Bolsonaro e… https://t.co/8AFOjscJvF,Álvaro Dias,-1,0,0,Twitter for Android,5/12/2018 0:17,91803106,andsongomes,Andson Gomes,11/22/2009 14:54,Roraimense de nascimento; Viajante por necessidade; Honesto por evolução; Espiritualista por afinidade; Revoltado e impaciente porque ainda estou aprendendo.,64,84,Boa Vista / Roraima / Brazil,Georgetown
